,address1,address2,MLS Number,sale_price,City,Sub Div,Type,Floor Plan Description,Bdrms,Baths Full,Baths Half,Year Built,Sqft Main,SQFT MAIN SOURCE,Below Grade Finished Sq Ft,Below Grade Finished Sq Ft Source,Lot Size,School District,Fireplace?,Fireplace Description,Basement,Basement Description,Garage/Parking?,Construction,Architecture,Roof,Lot Description,In Floodplain,Inside City Limits,Street Maintenance,Central Air,Heat,Cool,Water,Sewer,zip_code,lot_size
0,210 Sitter Street,"Pleasant Hill, MO 64080",2178982,15000,Pleasant Hill,Walkers & Sitlers,Single Family,Ranch,4,2,0,1950,1848.0,Public Record,0,Public Record,"12,155",Pleasant Hill,1,"Living Room, Wood Burning",0,"Block, Crawl Space",1,Frame,Traditional,Composition,"City Limits, City Lot, Level, Treed",0,1,"Pub Maint, Paved",1,Forced Air Gas,"Central Electric, Window Unit(s)",City/Public,City/Public,64080,0.27904040404040403
1,115 S Campbell Street,"Pleasant Hill, MO 64080",2198507,18500,Pleasant Hill,Pacific Railroad Add,Single Family,Ranch,2,2,0,1920,1397.0,Public Record,0,Public Record,"10,500",Pleasant Hill,0,,1,Crawl Space,0,Frame,Traditional,Composition,"City Limits, City Lot, Treed",0,1,"Pub Maint, Paved",0,Wall Furnace,None,City/Public,City/Public,64080,0.24104683195592286
2,115 S Campbell Street,"Pleasant Hill, MO 64080",2194371,19500,Pleasant Hill,Pacific Railroad Add,Single Family,Ranch,2,2,0,1920,1397.0,Public Record,0,Public Record,"10,500",Pleasant Hill,0,,1,"Not Finished, Partial",0,Frame,Traditional,Composition,"City Limits, City Lot, Treed",0,1,"Pub Maint, Paved",0,Central Electric,Window Unit(s),City/Public,City/Public,64080,0.24104683195592286
3,201 N State Route E Highway,"Strasburg, MO 64080",2196497,19500,Strasburg,Other,Single Family,1.5 Stories,2,1,0,1836,1088.0,Other,0,Public Record,125X175,Pleasant Hill,0,,0,Crawl Space,1,"Asbestos, Wood Siding","Ante Bellum, Traditional",Composition,"City Lot, Corner Lot, Estate Lot, Level",0,1,Pub Maint,0,Propane Gas,Central Electric,City/Public,Septic,64080,0.5021808999081726
4,204 N Missouri Street,"Archie, MO 64725",2190819,27200,Archie,High School Add,Single Family,Ranch,2,1,0,1971,1176.0,Public Record,0,Public Record,150X130,Archie,0,,0,,1,Lap,,Composition,City Lot,0,1,,1,Forced Air Gas,None,City/Public,City/Public,64725,0.4476584022038568
5,502 W Mill Street,"Strasburg, MO 64090",2185333,28000,Strasburg,Other,Single Family,Ranch,2,1,0,1920,1200.0,Public Record,0,Public Record,4 ac,Strasburg,0,,0,,1,"Frame, Vinyl Siding",Traditional,Composition,"Corner Lot, Level",0,0,,1,"Forced Air Gas, Propane Gas",Central Electric,City/Public,Septic,64090,4.0
6,32102 State Route B Highway,"Garden City, MO 64747",2216224,31501,Garden City,Other,Single Family,Bungalow,2,1,0,1880,1082.0,Public Record,0,Public Record,230868,Archie,1,,0,Crawl Space,1,"Frame, Wood Siding",,Composition,Acreage,1,0,,1,Other,Other,Rural,Septic,64747,5.3
7,6000 E 187th Street,"Belton, MO 64012",2190617,34900,Belton,Other,Single Family,Ranch,2,1,0,1942,760.0,Public Record,0,Public Record,65340,Belton,0,,0,Crawl Space,0,Frame,Traditional,Composition,"Acreage, Level, Treed, Wooded",0,-1,"Pub Maint, Paved",1,Forced Air Gas,Central Electric,"City/Public, Unknown - Verify","Septic, Unknown",64012,1.5
8,121 E Sunrise Drive,"Belton, MO 64012",2199837,35000,Belton,Bel Air Add,Single Family,Ranch,3,2,0,1965,1150.0,Public Record,0,Public Record,"3,264",Belton,0,,0,,0,Other,,Composition,,0,0,,1,Central Gas,Central Electric,City/Public,City/Public,64012,0.07493112947658402
9,709 S Park Avenue,"Garden City, MO 64747",2211145,36000,Garden City,Garden City,Single Family,Ranch,2,1,0,1964,792.0,Public Record,0,Public Record,7754,Sherwood,0,,0,Crawl Space,1,"Frame, Vinyl Siding",Traditional,Composition,"City Lot, Corner Lot, Treed",0,1,Paved,1,Radiant,Central Electric,City/Public,City/Public,64747,0.17800734618916436
10,17228 Chula Vista Drive,"Belton, MO 64012",2159907,40000,Belton,West Belton,Single Family,Bungalow,3,2,0,1960,1152.0,Appraisal,0,Appraisal,"17,160",Belton,0,,0,,0,Frame,,Composition,,0,0,,0,Central Gas,Central Gas,City/Public,City/Public,64012,0.3939393939393939
11,403 W Main Street,"Cleveland, MO 64734",2225041,50000,Cleveland,Cleveland,Single Family,Ranch,3,1,1,1900,1307.0,Public Record,0,Public Record,100X172,Cass-Midway,1,Living Room,0,Crawl Space,0,"Brick Trim, Frame",Other,Composition,City Lot,0,1,Paved,0,Natural Gas,None,City/Public,City/Public,64734,0.3948576675849403
12,202 S Halsey Avenue,"Harrisonville, MO 64701",2152911,50000,Harrisonville,Org Town Of Harrisonville,Single Family,2 Stories,3,2,0,1920,1600.0,Other,0,Other,67X115,Harrisonville,0,,0,Crawl Space,1,Wood Siding,Traditional,Composition,City Lot,0,0,,1,"Forced Air Gas, Natural Gas",Central Electric,City/Public,City/Public,64701,0.17688246097337007
13,1700 N Lexington Street,"Harrisonville, MO 64701",2202671,50000,Harrisonville,Other,Single Family,Ranch,3,1,0,1940,1305.0,Public Record,0,Public Record,65340,Harrisonville,0,,0,,1,Frame,,Composition,,0,0,,1,Forced Air Gas,Central Electric,City/Public,City/Public,64701,1.5
14,405 E 164th Terrace,"Belton, MO 64012",2201670,50000,Belton,Holmes Hills,Single Family,Ranch,2,1,0,1940,740.0,Public Record,0,Public Record,"15,000",Belton,0,,0,Crawl Space,0,"Frame, Stucco",Traditional,Composition,"City Lot, Estate Lot, Treed",0,0,"Pub Maint, Paved",0,Forced Air Gas,Window Unit(s),City/Public,Unknown,64012,0.3443526170798898
15,23319 Camp Branch Road,"Harrisonville, MO 64080",2170546,55000,Harrisonville,Other,Single Family,Ranch,3,1,1,1990,960.0,Public Record,0,Public Record,5 ac,Pleasant Hill,0,,0,,1,Lap,Traditional,Composition,,0,-1,Gravel,0,Space Heater(s),Window Unit(s),Rural,Septic,64080,5.0
16,216 S Adams Street,"Raymore, MO 64083",2198077,55000,Raymore,Other,Single Family,2 Stories,3,1,1,1900,1708.0,Public Record,0,Other,120X150,Raymore-Peculiar,0,,0,"Cellar, Crawl Space",1,"Frame, Wood Siding","Traditional, Victorian",Composition,"City Limits, Corner Lot, Level, Treed",0,1,Paved,1,Forced Air Gas,Central Electric,City/Public,City/Public,64083,0.4132231404958678
17,600 Lake Road,"Garden City, MO 64747",2212446,56500,Garden City,Hedge Trails,Single Family,Ranch,2,1,0,1974,960.0,Public Record,0,Public Record,78X120,Sherwood,0,,0,Crawl Space,1,"Frame, Vinyl Siding",Traditional,Composition,"City Lot, Corner Lot",0,0,,1,"Forced Air Gas, Natural Gas",Central Electric,City/Public,City/Public,64747,0.21487603305785125
18,205 W North Avenue,"Belton, MO 64012",2200110,57000,Belton,Scott & Colberns,Single Family,Bungalow,2,1,0,1940,724.0,Public Record,0,Public Record,16530,Belton,0,,0,,1,Vinyl Siding,,Composition,City Lot,0,1,"Pub Maint, Paved",1,Forced Air Electric,Central Electric,City/Public,City/Public,64012,0.37947658402203854
19,83 Spruce Street,"Garden City, MO 64747",2230744,59000,Garden City,Garden West,Single Family,2 Stories,3,2,0,1990,1386.0,Public Record,0,Public Record,1,Sherwood,0,,1,Concrete,1,Other,,Composition,,0,0,,1,Central Electric,Central Electric,City/Public,City/Public,64747,2.295684113865932e-05
20,206 Holden,"East Lynne, MO 64743",2190822,59000,East Lynne,East Lynne,Single Family,Bungalow,2,2,0,1940,1050.0,Public Record,0,Agent,"11,400",East Lynne,0,,0,,1,Frame,Traditional,Composition,"City Limits, Corner Lot, Treed",0,1,Pub Maint,1,"Forced Air Gas, Natural Gas",Central Electric,City/Public,City/Public,64743,0.26170798898071623
21,32007 E State Route Vv Highway,"Pleasant Hill, MO 64080",2230787,60000,Pleasant Hill,Other,Single Family,Ranch,2,1,0,1940,1040.0,Public Record,0,Agent,"76,666",Pleasant Hill,0,,0,"Block, Crawl Space",1,"Frame, Vinyl Siding",Traditional,Composition,"Acreage, Treed",1,-1,,1,"Forced Air Gas, Propane Gas",Central Electric,City/Public,Septic,64080,1.7600091827364555
22,204 S Lyne Street,"Raymore, MO 64083",2176162,60000,Raymore,Dikeland,Single Family,Bungalow,3,1,1,1976,924.0,Public Record,0,Public Record,.522 ac,Raymore-Peculiar,0,,0,,1,Vinyl Siding,Other,Other,Acreage,0,-1,Gravel,1,Propane Rented,Central Electric,City/Public - Verify,Other,64083,0.522
23,113 King Avenue,"Belton, MO 64012",2216887,60000,Belton,Countryside Manor,Single Family,1.5 Stories,3,1,0,1910,925.0,Other,0,Public Record,"18,270",Belton,0,,1,Not Finished,1,Vinyl Siding,Traditional,Composition,"City Lot, Corner Lot, Treed",0,1,,0,Forced Air Gas,Window Unit(s),City/Public,City/Public,64012,0.4194214876033058
24,1109 S Lexington Street,"Harrisonville, MO 64701",2165992,60000,Harrisonville,Other,Single Family,2 Stories,3,1,1,1920,1468.0,Public Record,0,Public Record,.43 ac,Harrisonville,0,,1,Full,1,Frame,,Composition,,0,0,,1,Central Gas,Central Electric,City/Public,City/Public,64701,0.43
25,24811 S King Road,"Peculiar, MO 64078",2174210,60100,Peculiar,Homeland Acres,Single Family,Ranch,5,3,0,1991,1620.0,Public Record,0,Other,150X280,Raymore-Peculiar,1,Gas,1,"Concrete, Partial",1,Vinyl Siding,"Traditional, Other",Composition,"Acreage, Level, Treed",0,0,,1,Propane Gas,Heat Pump,City/Public,Septic,64078,0.9641873278236914
26,321 N Independence Street,"Pleasant Hill, MO 64080",2198195,64000,Pleasant Hill,Other,Single Family,Ranch,3,2,0,0,1277.0,RPR,0,RPR,.26 ac,Pleasant Hill,0,,1,"Concrete, Full, Walk Up",1,"Brick & Frame, Brick Trim",Traditional,Composition,"City Lot, Level",0,0,,1,Central Electric,Central Electric,City/Public,City/Public,64080,0.26
27,219 S Randolph Street,"Pleasant Hill, MO 64080",2182071,65000,Pleasant Hill,Millers 1st,Single Family,Ranch,3,1,0,1920,886.0,Public Record,0,Public Record,78X140,Pleasant Hill,0,,0,Crawl Space,1,Frame,Traditional,Composition,City Lot,0,1,Paved,0,Forced Air Gas,Window Unit(s),City/Public,City/Public,64080,0.25068870523415976
28,115 Spencer Street,"Peculiar, MO 64078",2201074,65000,Peculiar,Rock Island Estates,Single Family,Ranch,3,2,0,1964,1200.0,Public Record,422,Other,"28,768",Raymore-Peculiar,1,"Great Room, Masonry, Wood Burning",1,"Daylight, Finished, Walk Up",1,"Stucco, Wood Siding",Traditional,Composition,"City Limits, City Lot, Estate Lot, Treed",0,1,Pub Maint,1,Forced Air Gas,Central Electric,City/Public,City/Public,64078,0.6604224058769513
29,16202 S Scott Road,"Pleasant Hill, MO 64080",2209354,65000,Pleasant Hill,Other,Single Family,Ranch,2,1,0,1983,924.0,Public Record,0,Public Record,"87,120",Pleasant Hill,0,,0,,1,Other,Other,Composition,"Acreage, Treed",0,0,,1,Forced Air Gas,Central Electric,Rural,Septic,64080,2.0
30,704 2nd Street,"Belton, MO 64012",2196785,66000,Belton,Orig Belton,Single Family,Bungalow,3,1,0,1920,1108.0,Public Record,0,Agent,72X134,Belton,0,,0,Crawl Space,0,Wood Siding,Traditional,Composition,City Lot,0,1,,0,Wall Furnace,Window Unit(s),City/Public,City/Public,64012,0.22148760330578512
32,700 Locust Street,"Pleasant Hill, MO 64080",2197181,66000,Pleasant Hill,Millers 1st,Single Family,Bungalow,3,1,0,1870,1267.0,Public Record,0,Public Record,"8,050",Pleasant Hill,0,"Hearth Room, Other",1,"Full, Walk Out, Walk Up",1,"Board/Batten, Shingle/Shake",Traditional,Composition,"City Limits, Corner Lot, Treed",0,1,Paved,0,Forced Air Gas,Window Unit(s),City/Public,City/Public,64080,0.18480257116620752
33,306 Cline Street,"Pleasant Hill, MO 64080",2176896,67750,Pleasant Hill,Cline & Todd,Single Family,Bungalow,2,1,0,1950,572.0,Public Record,0,Public Record,50X132,Pleasant Hill,0,,0,Crawl Space,0,Frame,,Composition,City Lot,0,0,,1,Forced Air Gas,Central Electric,City/Public,City/Public,64080,0.15151515151515152
34,304 E South Street,"Harrisonville, MO 64701",2235734,68700,Harrisonville,Other,Single Family,Bungalow,3,1,0,1960,1512.0,Public Record,0,Public Record,85X175,Harrisonville,0,,1,"Full, Not Finished",0,Frame,,Composition,,0,0,,1,Natural Gas,Central Electric,City/Public,City/Public,64701,0.34148301193755737
35,1301 S Butler Drive,"Harrisonville, MO 64701",2196675,69500,Harrisonville,Bowman Add,Single Family,Ranch,3,1,0,1955,864.0,Public Record,0,Public Record,"5,700",Harrisonville,0,,1,"Concrete, Full, Not Finished",1,"Frame, Vinyl Siding",Traditional,Composition,"City Lot, Treed",0,0,,1,Forced Air Gas,Central Electric,City/Public,City/Public,64701,0.13085399449035812
36,23610 E 175th Street,"Pleasant Hill, MO 64080",2192536,69750,Pleasant Hill,Other,Single Family,Ranch,2,2,0,1920,1526.0,Appraisal,0,Appraisal,4 ac,Pleasant Hill,0,,1,Partial,0,Frame,Traditional,Composition,"Acreage, Corner Lot, Level, Treed",0,-1,"Pub Maint, Paved",0,"Forced Air Gas, Propane Gas",None,Rural,Unknown,64080,4.0
37,501 S 5th Street,"Garden City, MO 64747",2161010,70500,Garden City,Garden City,Single Family,Ranch,2,1,0,1890,972.0,Public Record,0,,"9,963",Sherwood,0,,0,,1,Frame,,Composition,,0,1,,0,Other,Window Unit(s),City/Public,City/Public,64747,0.22871900826446281
38,615 N 2nd Street,"Creighton, MO 64739",2168659,71000,Creighton,Other,Single Family,Ranch,2,1,0,1960,720.0,Public Record,0,Public Record,143X209,Sherwood,0,,0,Crawl Space,1,Vinyl Siding,Traditional,Composition,Treed,0,1,,1,Central Electric,Central Electric,City/Public,City/Public,64739,0.6861111111111111
40,109 Berry Avenue,"Belton, MO 64012",2160162,72000,Belton,North Belton,Single Family,Ranch,2,1,0,1990,675.0,Public Record,0,Public Record,6134,Belton,0,,0,"Block, Crawl Space",1,Vinyl Siding,Traditional,Composition,Corner Lot,0,1,,0,"Forced Air Gas, Floor Furnace",Window Unit(s),City/Public,City/Public,64012,0.14081726354453628
41,1107 Green Street,"Harrisonville, MO 64701",2189515,72000,Harrisonville,Jacks Add,Single Family,1.5 Stories,2,1,0,1906,1698.0,Public Record,0,Public Record,.339 ac,Harrisonville,0,,1,"Concrete, Not Finished, Partial",1,"Frame, Lap",Traditional,Composition,City Limits,0,1,Pub Maint,1,Central Gas,Central Electric,City/Public,City/Public,64701,0.339
42,209 Fir Street,"Garden City, MO 64747",2166099,72000,Garden City,Garden South,Single Family,Ranch,3,1,1,1915,863.0,Public Record,0,Public Record,"15,400",Sherwood,0,,0,Crawl Space,1,Board/Batten,Traditional,Composition,Corner Lot,0,0,,1,Central Gas,Central Electric,City/Public,City/Public,64747,0.35353535353535354
43,614 C Street,"Belton, MO 64012",2156021,73000,Belton,Orig Belton,Single Family,Ranch,2,1,0,1930,675.0,Public Record,0,Public Record,.15 ac,Belton,0,,0,Crawl Space,0,Vinyl Siding,Traditional,Composition,"City Limits, City Lot, Level",0,1,Pub Maint,1,Forced Air Gas,Central Electric,City/Public,City/Public,64012,0.15
44,106 Sharon Lane,"Garden City, MO 64747",2207265,73450,Garden City,Garden West,Single Family,Earth Contact,3,2,0,1982,1422.0,Public Record,0,Public Record,"19,928",Sherwood,1,"Gas, Gas Starter, Living Room",0,,1,"Brick & Frame, Log",Traditional,Composition,"City Limits, City Lot, Estate Lot, Treed",0,1,Pub Maint,1,"Forced Air Electric, Natural Gas",Central Electric,City/Public,City/Public,64747,0.4574839302112029
45,305 Catron Avenue,"Belton, MO 64012",2199838,75000,Belton,Catron Sub,Single Family,Ranch,3,2,0,1952,912.0,Public Record,0,Public Record,"16,074",Belton,0,,1,Concrete,1,Other,,Composition,,0,0,,1,Central Gas,Central Electric,City/Public,City/Public,64012,0.36900826446280993
46,504 W 5th Court,"Peculiar, MO 64078",2191994,75000,Peculiar,Kenwood Estates,Single Family,Raised Ranch,3,1,0,1981,863.0,Public Record,400,Public Record,6969,Raymore-Peculiar,0,,1,Finished,1,Vinyl Siding,Traditional,Composition,City Lot,0,1,Paved,1,Forced Air Gas,Central Electric,City/Public,City/Public,64078,0.1599862258953168
47,210 Spruce Street,"Garden City, MO 64747",2208131,75000,Garden City,Gross Add,Single Family,Ranch,2,1,0,1925,840.0,Owner,0,Public Record,66X155,Sherwood,0,,0,,1,Vinyl Siding,"Colonial, Victorian",Composition,"City Lot, Level",0,1,Pub Maint,1,Central Electric,"Central Electric, Heat Pump",City/Public,City/Public,64747,0.23484848484848486
48,204 S Jefferson,"East Lynne, MO 64743",2215990,76000,East Lynne,East Lynne,Single Family,Ranch,3,3,0,1989,1675.0,Public Record,0,Public Record,"19,620",Harrisonville,0,,0,Crawl Space,1,Frame,,Metal,"City Lot, Corner Lot",0,1,Pub Maint,1,Natural Gas,Central Electric,City/Public,City/Public,64743,0.45041322314049587
49,16013 Eastern Avenue,"Belton, MO 64012",2214315,76000,Belton,Martinwood,Single Family,Ranch,2,1,0,1960,816.0,Public Record,0,Public Record,"16,500",Belton,0,,0,,0,"Frame, Vinyl Siding",A-Frame,Composition,,0,0,,1,Central Gas,Central Electric,City/Public - Verify,City/Public,64012,0.3787878787878788
50,320 E Maple Street,"Drexel, MO 64742",2158395,76000,Drexel,Other,Single Family,Ranch,3,1,0,1960,1484.0,Public Record,0,Public Record,"18,750",Drexel,1,Gas,0,,1,Other,Traditional,Other,City Lot,0,0,,1,Central Electric,Central Electric,City/Public,City/Public,64742,0.43044077134986225
51,17406 Chestnut Street,"Belton, MO 64012",2185845,77000,Belton,West Belton,Single Family,Ranch,3,1,1,1960,1200.0,Public Record,0,Public Record,16362,Belton,0,,0,Crawl Space,0,Vinyl Siding,Traditional,Composition,"City Lot, Level, Treed",0,0,,1,Forced Air Gas,Central Electric,City/Public,City/Public,64012,0.3756198347107438
52,912 2nd Street,"Belton, MO 64012",2209335,77500,Belton,Orig Belton,Single Family,Bungalow,3,1,0,1948,971.0,Owner,0,Other,.5 ac,Belton,0,,1,Block,0,Vinyl Siding,Traditional,Composition,"City Lot, Corner Lot, Level, Treed",0,0,,1,Forced Air Gas,Central Electric,City/Public,City/Public,64012,0.5
53,8405 Heron Drive,"Freeman, MO 64746",2213488,78400,Freeman,Lake Annette,Single Family,Ranch,2,1,0,1965,888.0,RPR,0,Agent,7200,Cass-Midway,1,"Electric, Great Room",0,Crawl Space,1,Board/Batten,Traditional,Composition,"Lake Front, Treed",0,0,,0,Forced Air Gas,Window Unit(s),City/Public,Septic,64746,0.1652892561983471
55,503 Gum Street,"Garden City, MO 64747",2195015,80000,Garden City,Garden City,Single Family,Ranch,3,2,0,1989,1064.0,Public Record,0,Public Record,7700,Sherwood,0,,0,Crawl Space,1,Vinyl Siding,Traditional,Composition,"City Lot, Treed",0,0,Pub Maint,1,"Central Electric, Central Gas",Central Electric,City/Public,City/Public,64747,0.17676767676767677
56,802 S Ash Street,"Garden City, MO 64747",2183323,80000,Garden City,Garden City,Single Family,Ranch,3,1,0,1979,1080.0,Public Record,0,Public Record,"7,500",Sherwood,0,,0,Crawl Space,1,Frame,,Composition,,0,0,,1,Forced Air Electric,Central Electric,City/Public,City/Public,64747,0.1721763085399449
57,204 Chappell Drive,"Pleasant Hill, MO 64080",2152459,80000,Pleasant Hill,Other,Single Family,Ranch,3,2,0,1963,1236.0,Public Record,0,Public Record,100X150,Pleasant Hill,0,,1,"Concrete, Garage Entrance, Inside Entrance",1,Board/Batten,Traditional,Composition,,0,1,"Pub Maint, Paved",0,Other,"Attic Fan, Window Unit(s)",City/Public,City/Public,64080,0.3443526170798898
58,2203 Addie Drive,"Pleasant Hill, MO 64080",2211166,81000,Pleasant Hill,Henley Meadows,Single Family,Ranch,3,2,0,2005,1106.0,Public Record,0,Public Record,"5,550",Pleasant Hill,0,,0,,1,"Brick Trim, Vinyl Siding",,Composition,,0,0,,1,Heat Pump,Heat Pump,City/Public,City/Public,64080,0.12741046831955924
59,500 E 164th Terrace,"Belton, MO 64012",2223300,82000,Belton,Holmes Hills,Single Family,Ranch,3,1,0,1990,1890.0,RPR,0,Owner,14810,Belton,0,,0,,0,Frame,,Composition,,0,0,,0,Forced Air Gas,Window Unit(s),City/Public,Septic,64012,0.3399908172635445
60,306 W Walnut Street,"Archie, MO 64725",2174402,83500,Archie,Archie,Single Family,Bungalow,2,1,0,1930,791.0,Public Record,0,Owner,"9,000",Archie,0,,0,,0,"Frame, Wood Siding",Traditional,Composition,,0,-1,Pub Maint,1,"Forced Air Electric, Heat Pump","Central Electric, Heat Pump","City/Public, City/Public - Verify",City/Public,64725,0.2066115702479339
61,117 Brian Avenue,"Belton, MO 64012",2193516,83500,Belton,Belton Manor,Single Family,Split Entry,3,1,0,1990,1066.0,Public Record,0,Public Record,65X115,Belton,0,,1,"Garage Entrance, Inside Entrance, Walk Up",1,"Frame, Vinyl Siding",Traditional,Composition,,0,1,Pub Maint,1,Forced Air Gas,"Attic Fan, Central Electric",City/Public,City/Public,64012,0.1716023875114784
62,120 N McKissock Street,"Pleasant Hill, MO 64080",2221756,84000,Pleasant Hill,Miller's First Addition,Single Family,Ranch,2,1,0,1990,725.0,Public Record,0,Public Record,11325,Pleasant Hill,0,,0,Crawl Space,0,Vinyl Siding,Traditional,Composition,"City Lot, Level, Treed",0,1,,1,Natural Gas,Central Electric,City/Public,City/Public,64080,0.2599862258953168
63,405 E Pearl Street,"Harrisonville, MO 64701",2222185,85000,Harrisonville,Org Town Of Harrisonville,Single Family,Ranch,2,1,1,1945,1210.0,Public Record,0,Public Record,"6,138",Harrisonville,1,Living Room,1,"Daylight, Not Finished",0,Brick & Frame,Traditional,Composition,City Limits,0,1,,1,Natural Gas,Central Electric,City/Public,City/Public,64701,0.1409090909090909
64,505 Silverado Trail,"Belton, MO 64012",2215213,85000,Belton,Cimarron Trails,Single Family,Ranch,2,1,0,1960,1082.0,Public Record,594,Public Record,66X130,Belton,0,,1,"Inside Entrance, Not Finished",1,Wood Siding,Traditional,Composition,"City Limits, Level",0,1,,1,Natural Gas,Central Electric,City/Public,City/Public,64012,0.19696969696969696
65,1002 Eastwood Road,"Harrisonville, MO 64701",2170625,85000,Harrisonville,Terry Add,Single Family,Ranch,3,1,0,1957,786.0,Public Record,383,Public Record,80X181,Harrisonville,0,,1,"Concrete, Not Finished, Partial",1,Board/Batten,,Composition,,0,0,,1,Forced Air Gas,Central Electric,City/Public,City/Public,64701,0.33241505968778695
66,203 S Washington Street,"Raymore, MO 64083",2194519,86000,Raymore,Other,Single Family,Bungalow,2,1,0,1900,978.0,Public Record,0,Public Record,"18,000",Raymore-Peculiar,0,,1,Stone/Rock,1,"Frame, Vinyl Siding",Traditional,Composition,,0,0,,1,Forced Air Gas,Central Electric,City/Public,Unknown,64083,0.4132231404958678
67,17120 Chula Vista Drive,"Belton, MO 64012",2199192,86500,Belton,West Belton,Single Family,Ranch,2,1,0,1960,720.0,Public Record,0,Public Record,"17,160",Belton,0,,0,,0,"Frame, Metal Siding",,Composition,,0,0,,1,Natural Gas,Central Electric,City/Public,City/Public,64012,0.3939393939393939
68,307 3rd Street,"Belton, MO 64012",2181108,86735,Belton,Orig Belton,Single Family,1.5 Stories,3,1,0,1900,1448.0,Public Record,0,Public Record,6432,Belton,0,,0,Crawl Space,0,Frame,Traditional,Composition,City Lot,0,1,Paved,1,Forced Air Gas,Central Electric,City/Public,City/Public,64012,0.14765840220385676
69,21523 S Dillon Road,"Pleasant Hill, MO 64080",2187665,87000,Pleasant Hill,Other,Single Family,2 Stories,3,2,0,1910,2332.0,Public Record,0,Public Record,217800,Pleasant Hill,0,,0,Crawl Space,1,Frame,Traditional,Composition,Acreage,1,0,,0,Central Electric,Central Electric,City/Public,Septic,64080,5.0
70,24504 S Old Trail Road,"Harrisonville, MO 64701",2220017,87500,Harrisonville,Other,Single Family,Ranch,3,1,0,1950,1448.0,Public Record,0,Public Record,3 ac,East Lynne,0,,0,"Block, Partial",1,Vinyl Siding,Traditional,Composition,,0,0,,0,"Radiant, Wood Burn Stove",Window Unit(s),City/Public - Verify,Septic,64701,3.0
71,24504 S Old Trail Road,"Harrisonville, MO 64701",2220017,87500,Harrisonville,Other,Single Family,Ranch,3,1,0,1950,1448.0,Public Record,0,Public Record,3 ac,East Lynne,0,,0,"Block, Partial",1,Vinyl Siding,Traditional,Composition,,0,0,,0,"Radiant, Wood Burn Stove",Window Unit(s),City/Public - Verify,Septic,64701,3.0
72,22505 S Airport Road,"Pleasant Hill, MO 64080",2162182,87500,Pleasant Hill,Other,Single Family,2 Stories,4,1,1,1900,1753.0,Public Record,0,Public Record,2 ac,Pleasant Hill,0,,1,"Crawl Space, Partial, Stone/Rock",0,"Frame, Vinyl Siding",Traditional,Composition,"Acreage, Level, Treed",0,0,,1,Propane Gas,Central Electric,City/Public,Septic,64080,2.0
73,904 Edgevale Terrace,"Harrisonville, MO 64701",2204165,88500,Harrisonville,Williams Add,Single Family,Ranch,2,1,0,1951,960.0,Public Record,0,Public Record,90X120,Harrisonville,0,,0,Crawl Space,1,Metal Siding,Traditional,Composition,"City Lot, Corner Lot, Treed",0,0,,1,Forced Air Gas,Central Electric,City/Public,City/Public,64701,0.24793388429752067
74,703 E Mechanic Street,"Harrisonville, MO 64701",2220355,89700,Harrisonville,Org Town Of Harrisonville,Single Family,Ranch,3,1,0,1890,1410.0,Public Record,0,Public Record,90X181,Harrisonville,0,,1,"Concrete, Stone/Rock",1,Asbestos,,Composition,,0,1,Pub Maint,1,"Forced Air Gas, Natural Gas",Central Electric,City/Public,City/Public,64701,0.3739669421487603
76,304 Lacy Lane,"Belton, MO 64012",2218887,90000,Belton,Lacy Estates,Single Family,Ranch,3,1,0,1990,1225.0,Public Record,0,Other,75X115,Belton,0,,1,"Full, Inside Entrance",1,Vinyl Siding,Traditional,Composition,City Lot,0,1,,1,"Forced Air Gas, Natural Gas",Central Electric,City/Public,City/Public,64012,0.19800275482093663
77,930 E Oak Street,"Pleasant Hill, MO 64080",2205886,90000,Pleasant Hill,Other,Single Family,Ranch,3,2,0,1994,1056.0,Public Record,0,Public Record,"12,750",Pleasant Hill,0,,0,Crawl Space,1,Other,Other,Other,"City Limits, Corner Lot, Level",0,1,,1,Central Electric,Central Electric,City/Public,City/Public,64080,0.2926997245179063
78,305 W Washington Street,"Harrisonville, MO 64701",2190894,90000,Harrisonville,Org Town Of Harrisonville,Single Family,Ranch,3,2,0,1930,1686.0,Public Record,0,Public Record,1 ac,Harrisonville,0,,0,Crawl Space,0,Wood Siding,,Composition,City Lot,0,0,,1,Central Gas,Central Electric,City/Public,City/Public,64701,1.0
79,508 Lions Drive #167,"Peculiar, MO 64078",2151268,90000,Peculiar,Kenwood Estates,Single Family,Raised Ranch,3,1,1,1983,1008.0,Public Record,0,Public Record,"7,500",Cass-Midway,0,,1,Concrete,1,Frame,,Composition,,0,0,,1,Forced Air Gas,Central Electric,City/Public,City/Public,64078,0.1721763085399449
80,1101 N Jerry Avenue,"Raymore, MO 64083",2193036,91000,Raymore,Mullendike,Single Family,Ranch,3,2,0,1981,1248.0,RPR,0,RPR,224X170,Raymore-Peculiar,0,,0,,0,Vinyl Siding,,Metal,"Acreage, City Limits, Stream(s), Treed",0,1,Gravel,1,Heatpump/Gas,"Central Electric, Heat Pump",City/Public,City/Public,64083,0.8741965105601469
