,address1,address2,MLS Number,sale_price,City,Sub Div,Type,Floor Plan Description,Bdrms,Baths Full,Baths Half,Year Built,Sqft Main,SQFT MAIN SOURCE,Below Grade Finished Sq Ft,Below Grade Finished Sq Ft Source,Lot Size,School District,Fireplace?,Fireplace Description,Basement,Basement Description,Garage/Parking?,Construction,Architecture,Roof,Lot Description,In Floodplain,Inside City Limits,Street Maintenance,Central Air,Heat,Cool,Water,Sewer,zip_code,lot_size
1442,5149 SW Raintree Parkway,"Lee's Summit, MO 64082",2197615,275000,Lees Summit,Raintree Lake,Single Family,Ranch,4,3,0,1991,1404.0,Public Record,1100,Agent,20000,Raymore-Peculiar,1,"Living Room, Wood Burning",1,"Finished, Full, Inside Entrance",1,"Brick Trim, Frame",Traditional,Composition,"City Lot, Level",0,1,Paved,1,Forced Air Gas,Central Electric,City/Public,City/Public,64082,0.4591368227731864
1443,435 Spring Branch Drive,"Raymore, MO 64083",2193792,275000,Raymore,Madison Creek,Single Family,Split Entry,4,3,0,2018,1580.0,Builder,570,Builder,"8,414",Raymore-Peculiar,1,Great Room,1,Finished,1,Wood Siding,Traditional,Composition,City Lot,0,1,Paved,1,Forced Air Gas,Central Electric,City/Public,City/Public,64083,0.19315886134067953
1444,316 Alder Drive,"Raymore, MO 64083",2189690,275000,Raymore,Shadowood,Single Family,2 Stories,4,2,1,2006,2271.0,Appraisal,0,Agent,120X80,Raymore-Peculiar,1,"Gas Starter, Great Room, Wood Burning",1,"Full, Stubbed for Bath, Walk Out",1,"Frame, Wood Siding",Traditional,Composition,"Adjoin Greenspace, City Lot, Lake Front",0,0,Pub Maint,1,Forced Air Gas,Heat Pump,City/Public,City/Public,64083,0.22038567493112948
1445,12423 Live Oak Circle,"Peculiar, MO 64078",2154613,275000,Peculiar,Twin Oaks,Single Family,2 Stories,3,2,1,2019,1800.0,Builder,0,Other,76X111,Raymore-Peculiar,0,,1,Full,1,"Frame, Wood Siding",Traditional,Composition,City Lot,0,0,Pub Maint,1,Forced Air Electric,Central Electric,City/Public,City/Public,64078,0.19366391184573004
1446,3206 Steel Circle,"Harrisonville, MO 64701",2201628,275000,Harrisonville,Katy Trails,Single Family,Ranch,4,3,0,2004,1653.0,Public Record,1200,Agent,18425,Harrisonville,1,"Dining Room, Gas, Living Room",1,"Finished, Full, Walk Out",1,Wood Siding,Traditional,Composition,Cul-De-Sac,0,0,Pub Maint,1,Forced Air Gas,Central Electric,City/Public,City/Public,64701,0.42297979797979796
1447,2010 Owen Drive,"Pleasant Hill, MO 64080",2179382,275000,Pleasant Hill,Ridge Tree,Single Family,"Ranch, Reverse 1.5 Story",4,3,0,2007,1640.0,Public Record,1640,Public Record,10016,Pleasant Hill,1,"Gas Starter, Great Room, Wood Burning",1,"Finished, Walk Out",1,Frame,Traditional,Composition,"City Limits, Corner Lot",0,1,,1,Forced Air Electric,Central Electric,City/Public,City/Public,64080,0.22993572084481176
1448,901 S Lincoln Road,"Raymore, MO 64083",2161278,275000,Raymore,Other,Single Family,Split Entry,3,2,1,1969,1344.0,Public Record,672,Public Record,217800,Raymore-Peculiar,1,"Great Room, Hearth Room",1,Finished,1,All Brick,Traditional,Composition,"Acreage, Level, Treed",0,1,,1,Forced Air Gas,Central Electric,City/Public,Septic,64083,5.0
1449,1920 Hidden Valley Drive,"Pleasant Hill, MO 64080",2182835,275000,Pleasant Hill,Sugarland Estates,Single Family,1.5 Stories,3,2,2,1990,2602.0,Public Record,0,Public Record,34848,Pleasant Hill,1,"Gas, Living Room",1,"Not Finished, Walk Out",1,"Frame, Vinyl Siding",Traditional,Composition,"Adjoin Greenspace, City Limits, City Lot",0,1,"Pub Maint, Paved",1,Central Gas,Central Electric,City/Public,City/Public,64080,0.8
1450,116 Popago Lane,"Lake Winnebago, MO 64034",2178823,275000,Lake Winnebago,Lake Winnebago,Single Family,Reverse 1.5 Story,4,3,0,1968,1616.0,Owner,734,Owner,100X150,Lees Summit,1,"Basement, Great Room",1,"Finished, Inside Entrance, Walk Out",1,"Brick Trim, Frame",Traditional,Shake,,0,0,,1,"Forced Air Gas, Heat Pump","Attic Fan, Central Electric",City/Public,City/Public,64034,0.3443526170798898
1451,29805 E State Route T,"Garden City, MO 64747",2144787,275000,Garden City,Other,Single Family,Ranch,4,4,0,1990,2230.0,RPR,1254,RPR,217800,Sherwood,0,,1,"Finished, Full",1,Wood Siding,,Composition,,0,-1,Paved,1,"Central Electric, Propane Gas",Central Electric,Rural,Septic,64747,5.0
1452,25612 S Lincoln Road,"Harrisonville, MO 64701",2182864,275000,Harrisonville,Eastern Hills,Single Family,Raised Ranch,3,2,1,1970,1248.0,Public Record,696,Other,3 ac,Harrisonville,1,"Basement, Living Room, Wood Burning",1,"Finished, Garage Entrance, Walk Out",1,"Brick Trim, Frame",Traditional,Composition,Acreage,0,-1,,1,"Heat Pump, Propane Gas",Central Electric,Rural,Septic,64701,3.0
1453,1519 Saddlebrook Road,"Raymore, MO 64083",2170972,275000,Raymore,Stonegate,Single Family,Split Entry,4,3,0,2002,1730.0,Public Record,1055,Public Record,83X135,Raymore-Peculiar,1,"Family Room, Living Room",1,"Finished, Partial",1,"Frame, Wood Siding",Traditional,Composition,"City Limits, Level, Treed",0,1,"Pub Maint, Paved",1,Central Gas,Central Electric,City/Public,City/Public,64083,0.2572314049586777
1454,1003 Barron Road,"Raymore, MO 64083",2208247,275000,Raymore,Farview Farms,Single Family,Raised Ranch,4,3,0,1974,1448.0,Public Record,748,Public Record,5 ac,Raymore-Peculiar,1,Family Room,1,Finished,1,Vinyl Siding,Traditional,Composition,"Acreage, Pond(s)",0,0,,1,Propane Gas,Heat Pump,City/Public,Septic,64083,5.0
1455,22618 Cole Court,"Peculiar, MO 64078",2197338,275000,Peculiar,Windmill Country Estates,Single Family,"Ranch, Reverse 1.5 Story",4,3,1,1990,1890.0,Other,1310,Other,121X118,Raymore-Peculiar,1,Gas,1,"Daylight, Finished, Walk Out",1,Stucco,Traditional,Composition,"Cul-De-Sac, Lake Front, Level",0,0,,1,Natural Gas,Central Electric,City/Public,City/Public,64078,0.3277777777777778
1456,12403 Live Oak Circle,"Peculiar, MO 64078",2181124,275695,Peculiar,Twin Oaks,Single Family,2 Stories,4,2,1,2019,1851.0,Builder,0,Other,75X125,Raymore-Peculiar,0,,1,"Concrete, Full, Inside Entrance",1,Frame,Traditional,Composition,Level,0,1,"Pub Maint, Paved",1,Forced Air Gas,Central Electric,City/Public,City/Public,64078,0.21522038567493113
1457,15300 E 200th Street,"Peculiar, MO 64078",2179367,276000,Peculiar,Briarwood Acres,Single Family,"Ranch, Reverse 1.5 Story",3,2,0,1983,1384.0,RPR,1384,Other,3 ac,Raymore-Peculiar,1,Living Room,1,"Finished, Full",1,Frame,Traditional,Composition,"Acreage, Level, Pond(s), Treed",0,0,,1,Heat Pump,Central Electric,City/Public,Septic,64078,3.0
1458,2215 Wind Side Court,"Raymore, MO 64083",2200106,276500,Raymore,Alexander Creek,Single Family,"Ranch, Reverse 1.5 Story",4,3,0,2013,1461.0,Public Record,1128,Public Record,74X100,Raymore-Peculiar,1,"Family Room, Gas",1,"Concrete, Finished, Full",1,Stucco,Traditional,Composition,"Adjoin Greenspace, City Lot, Cul-De-Sac",0,0,,1,Central Gas,Central Electric,City/Public,City/Public,64083,0.16988062442607896
1459,1601 Kentucky Drive,"Pleasant Hill, MO 64080",2173458,277000,Pleasant Hill,Hunters Ridge,Single Family,"Ranch, Reverse 1.5 Story",3,2,1,2005,1550.0,Public Record,883,Public Record,85X156,Pleasant Hill,1,"Gas, Great Room, See Through",1,"Finished, Full, Walk Out",1,Stucco & Frame,Traditional,Composition,"City Limits, City Lot, Cul-De-Sac, Treed",0,1,"Pub Maint, Paved",1,Heatpump/Gas,Central Electric,City/Public,City/Public,64080,0.3044077134986226
1460,803 Old Paint Road,"Raymore, MO 64083",2204921,277000,Raymore,Wood Creek Of Good Ranch,Single Family,"Ranch, Reverse 1.5 Story",5,4,0,1998,1582.0,Public Record,1556,Public Record,70X117,Raymore-Peculiar,1,"Great Room, Zero Clearance",1,"Finished, Inside Entrance, Walk Out",1,"Brick Veneer, Frame",Traditional,Composition,"Adjoin Greenspace, Treed",0,1,Paved,1,Forced Air Gas,Central Electric,City/Public,City/Public,64083,0.18801652892561985
