,address1,address2,MLS Number,delme,sale_price,County,City,Sub Div,Type,Floor Plan Description,Bdrms,Baths Full,Baths Half,Year Built,Sqft Main,SQFT MAIN SOURCE,Below Grade Finished Sq Ft,Below Grade Finished Sq Ft Source,Lot Size,School District,Fireplace?,Fireplace Description,Basement,Basement Description,Garage/Parking?,Construction,Architecture,Roof,Lot Description,In Floodplain,Inside City Limits,Street Maintenance,Central Air,Heat,Cool,Water,Sewer,zip_code,lot_size2,lot_size3
71,305 S Adams Street,"Raymore, MO 64083",2229779,Map,160000,Cass,Raymore,Other,Single Family,Ranch,3,1,0,1945,1091,Public Record,0,Public Record,"12,000",Raymore-Peculiar,N,,N,Crawl Space,Y,Frame,Traditional,Composition,"City Lot, Level, Treed",Unknown,Yes,Pub Maint,N,Forced Air Gas,Central Electric,City/Public,City/Public,64083,FALSE,TRUE
72,407 E 164th Terrace,"Belton, MO 64012",2227188,Map,160000,Cass,Belton,Holmes Hills,Single Family,Ranch,3,1,0,1948,1970,Public Record,0,Public Record,"15,000",Belton,Y,,N,,Y,"Brick & Frame, Wood Siding",,Composition,,No,,,Y,Natural Gas,Central Electric,City/Public,Septic,64012,FALSE,TRUE
73,1028 Kaycee Drive,"Raymore, MO 64083",2227000,Map,160000,Cass,Raymore,Remington Estates,Half Duplex,Split Entry,4,3,0,1990,1279,Public Record,607,Public Record,50X130,Raymore-Peculiar,Y,"Gas, Living Room",Y,"Finished, Walk Out",Y,"All Brick, Vinyl Siding",Contemporary,Composition,"City Lot, Level",No,,,Y,"Forced Air Gas, Heat Pump",Central Electric,City/Public,City/Public,64083,TRUE,FALSE
74,408 Lexington Road,"Pleasant Hill, MO 64080",2221374,Map,160000,Cass,Pleasant Hill,Country Club West,Single Family,Ranch,3,1,1,1960,1152,Public Record,0,Owner,89X125,Pleasant Hill,Y,"Living Room, Wood Burning",Y,Full,Y,"Frame, Vinyl Siding",,Composition,"City Lot, Corner Lot",No,,,Y,Forced Air Gas,Central Electric,City/Public,City/Public,64080,TRUE,FALSE
75,250 Palm Lane,"Garden City, MO 64747",2195101,Map,160000,Cass,Garden City,Gross Add,Single Family,1.5 Stories,4,2,0,1975,1632,Public Record,0,Public Record,"43,560",Sherwood,Y,"Insert, Living Room",Y,"Concrete, Not Finished, Walk Up",Y,Frame,Traditional,Composition,City Lot,No,,,Y,Forced Air Gas,Central Electric,City/Public,City/Public,64747,FALSE,TRUE
76,302 E Colony Avenue,"East Lynne, MO 64743",2229033,Map,162500,Cass,East Lynne,Colony Estates,Single Family,Front/Back Split,3,2,1,2004,1273,Public Record,230,Agent,93X98,East Lynne,N,Wood Burn Stove,Y,"Finished, Partial",Y,"Frame, Vinyl Siding",,Composition,City Lot,No,,,Y,"Forced Air Electric, Heat Pump",Central Electric,City/Public,City/Public,64743,TRUE,FALSE
77,7410 E 229th Street,"Peculiar, MO 64078",2231440,Map,162500,Cass,Peculiar,Lakeview Estates,Single Family,"Side/Side Split, Tri Level",3,2,0,1975,1260,Public Record,600,Public Record,2 ac,Raymore-Peculiar,Y,Family Room,Y,"Concrete, Garage Entrance, Inside Entrance",Y,Frame,Traditional,Composition,"Acreage, Pond(s), Treed",No,No,,Y,Propane Gas,Central Electric,City/Public,Septic,64078,FALSE,TRUE
78,16014 Allen Avenue,"Belton, MO 64012",2226847,Map,163000,Cass,Belton,Norman Tracts,Single Family,Ranch,4,1,0,1965,1356,Public Record,0,Public Record,100X200,Belton,N,,N,Slab,Y,Stone & Frame,Traditional,Composition,City Limits,No,Yes,"Pub Maint, Paved",N,Forced Air Gas,Window Unit(s),City/Public,City/Public,64012,TRUE,FALSE
79,102 W Walker Drive,"Harrisonville, MO 64701",2222125,Map,163000,Cass,Harrisonville,Walkers Sub,Single Family,Ranch,3,2,0,2002,1273,Public Record,0,Public Record,76X132,Harrisonville,N,,N,Slab,Y,Frame,Traditional,Composition,"City Lot, Level, Treed",No,,,Y,Forced Air Electric,Central Electric,City/Public,City/Public,64701,TRUE,FALSE
80,314 S Monroe Street,"Raymore, MO 64083",2228398,Map,165000,Cass,Raymore,Other,Single Family,Ranch,3,1,0,1960,1176,Public Record,0,Other,"18,840",Raymore-Peculiar,N,,N,Crawl Space,Y,Vinyl Siding,Traditional,Composition,Corner Lot,No,,,Y,Forced Air Gas,Central Electric,City/Public,City/Public,64083,FALSE,TRUE
