,address1,address2,MLS Number,delme,sale_price,County,City,Sub Div,Type,Floor Plan Description,Bdrms,Baths Full,Baths Half,Year Built,Sqft Main,SQFT MAIN SOURCE,Below Grade Finished Sq Ft,Below Grade Finished Sq Ft Source,Lot Size,School District,Fireplace?,Fireplace Description,Basement,Basement Description,Garage/Parking?,Construction,Architecture,Roof,Lot Description,In Floodplain,Inside City Limits,Street Maintenance,Central Air,Heat,Cool,Water,Sewer,zip_code,lot_size2,lot_size3
647,16306 Harris Avenue,"Belton, MO 64012",2207646,Map,205000,Cass,Belton,Summerset Hills,Single Family,Split Entry,3,2,1,1998,1263,Public Record,378,Public Record,70X120,Belton,Y,"Gas Starter, Great Room, Wood Burning",Y,"Concrete, Daylight, Finished",Y,"Board/Batten, Brick Trim",Traditional,Composition,"City Lot, Level",No,Yes,Pub Maint,Y,Forced Air Gas,Central Electric,City/Public,City/Public,64012,TRUE,FALSE
648,1301 E Walnut Street,"Harrisonville, MO 64701",2202091,Map,205000,Cass,Harrisonville,Cummins & Sims,Single Family,1.5 Stories,3,2,0,1918,1766,Owner,0,Owner,.49 ac,Harrisonville,Y,Living Room,Y,"Full, Walk Out",Y,Vinyl Siding,Traditional,Composition,,No,,,Y,"Central Electric, Wood Burn Stove",Central Electric,City/Public,City/Public,64701,FALSE,TRUE
649,512 Chase Lane,"Belton, MO 64012",2199994,Map,205000,Cass,Belton,Emerson Park,Single Family,Split Entry,4,3,0,2020,1400,Builder,526,Builder,70X153,Belton,Y,"Gas, Great Room",Y,"Concrete, Finished",Y,"Frame, Lap",Traditional,Composition,"City Lot, Level",No,Yes,"Pub Maint, Paved",Y,"Forced Air Gas, Natural Gas",Central Electric,City/Public,City/Public,64012,TRUE,FALSE
650,413 Westover Court,"Belton, MO 64012",2193664,Map,205000,Cass,Belton,Hargis Gardens West,Single Family,Ranch,3,2,1,1970,1400,Agent,1300,Agent,"15,232",Belton,Y,"Family Room, Gas, Living Room",Y,"Garage Entrance, Inside Entrance, Walk Out",Y,Brick & Frame,,Composition,Corner Lot,No,Yes,,Y,Natural Gas,Central Electric,City/Public,City/Public,64012,FALSE,TRUE
651,16402 Slater Avenue,"Belton, MO 64012",2183366,Map,205000,Cass,Belton,Summerset Hills,Single Family,Side/Side Split,3,2,1,2000,1338,Public Record,362,Public Record,"8,395",Belton,Y,"Gas, Great Room",Y,"Daylight, Finished",Y,"Frame, Lap",Traditional,Composition,City Lot,No,Yes,Pub Maint,Y,"Forced Air Gas, Natural Gas",Central Electric,City/Public,City/Public,64012,FALSE,TRUE
652,16310 Slater Avenue,"Belton, MO 64012",2168809,Map,205000,Cass,Belton,Summerset Hills,Single Family,Split Entry,3,2,1,2000,1132,Public Record,324,Public Record,69X115,Belton,Y,"Gas, Living Room",Y,"Egress Window, Finished, Walk Out",Y,"Brick Trim, Frame",Traditional,Composition,"City Lot, Level, Treed",No,Yes,Pub Maint,Y,Natural Gas,Central Electric,City/Public,City/Public,64012,TRUE,FALSE
653,301 Amy Street,"Harrisonville, MO 64701",2168037,Map,205000,Cass,Harrisonville,East Elm Estates,Single Family,Side/Side Split,3,2,1,1998,1650,RPR,220,Owner,82X140,Harrisonville,Y,Living Room,Y,"Concrete, Finished, Inside Entrance",Y,"Frame, Lap",Traditional,Composition,City Lot,No,Yes,"Pub Maint, Paved",Y,Heat Pump,"Attic Fan, Heat Pump",City/Public,City/Public,64701,TRUE,FALSE
654,16300 Slater Avenue,"Belton, MO 64012",2208886,Map,205000,Cass,Belton,Summerset Hills,Single Family,Split Entry,3,2,1,2000,1225,Public Record,631,Public Record,9200,Belton,Y,Great Room,Y,"Garage Entrance, Walk Out",Y,Frame,Traditional,Composition,Corner Lot,No,,,Y,Central Gas,Central Electric,City/Public,City/Public,64012,FALSE,TRUE
655,301 N High Drive,"Raymore, MO 64083",2184202,Map,205000,Cass,Raymore,Keenland Est,Single Family,Ranch,3,2,0,1974,1471,Public Record,0,Public Record,100X150,Raymore-Peculiar,Y,"Family Room, Wood Burning",Y,Full,Y,"Board/Batten, Brick Trim",Traditional,Composition,"City Lot, Corner Lot, Level",No,,,Y,Forced Air Gas,"Attic Fan, Central Electric",City/Public,City/Public,64083,TRUE,FALSE
656,1501 Maple Lane,"Pleasant Hill, MO 64080",2171973,Map,205000,Cass,Pleasant Hill,Stone Creek,Single Family,Raised Ranch,4,3,0,1995,1464,Public Record,1464,Public Record,10500,Pleasant Hill,Y,Family Room,Y,"Finished, Full",Y,Frame,Traditional,Composition,City Lot,No,,,Y,Natural Gas,Central Electric,City/Public,City/Public,64080,FALSE,TRUE
657,402 Belmont Drive,"Raymore, MO 64083",2184577,Map,205000,Cass,Raymore,Canter Ridge,Single Family,"Atrium Split, Side/Side Split",3,2,1,2002,1394,Public Record,291,Owner,68X125,Raymore-Peculiar,Y,"Family Room, Gas, Gas Starter",Y,"Concrete, Finished, Walk Out",Y,"Frame, Wood Siding",Traditional,Composition,"City Lot, Level, Treed",No,Yes,Pub Maint,Y,"Forced Air Gas, Natural Gas",Central Electric,City/Public,City/Public,64083,TRUE,FALSE
658,16401 Slater Avenue,"Belton, MO 64012",2212086,Map,205000,Cass,Belton,Summerset Hills,Single Family,Split Entry,3,2,1,2000,1155,Public Record,555,Public Record,"8,400",Belton,Y,Great Room,Y,"Concrete, Egress Window, Finished",Y,"Frame, Vinyl Siding",Traditional,Composition,City Lot,No,Yes,"Pub Maint, Paved",Y,Central Gas,Central Electric,City/Public,City/Public,64012,FALSE,TRUE
659,1001 E Mechanic Street,"Harrisonville, MO 64701",2203796,Map,205000,Cass,Harrisonville,Williams Add,Single Family,Raised Ranch,3,2,0,1949,1824,Public Record,462,Public Record,57810,Harrisonville,Y,"Great Room, Hearth Room",Y,"Finished, Walk Out",N,"Frame, Shingle/Shake",Traditional,Composition,"Acreage, City Limits, Corner Lot, Treed",No,Yes,"Pub Maint, Paved",Y,Central Gas,Central Electric,City/Public,City/Public,64701,FALSE,TRUE
660,1915 Fairground Drive,"Pleasant Hill, MO 64080",2172309,Map,205000,Cass,Pleasant Hill,Sugarland Estates,Single Family,Raised Ranch,3,2,1,1989,1244,Other,535,Other,75X120,Pleasant Hill,Y,"Great Room, Wood Burning",Y,Finished,Y,"Stone Trim, Wood Siding",Traditional,Composition,City Lot,No,,"Pub Maint, Paved",Y,Forced Air Gas,"Attic Fan, Central Electric",City/Public,City/Public,64080,TRUE,FALSE
661,1600 Tyler Drive,"Raymore, MO 64083",2182624,Map,205100,Cass,Raymore,Foxhaven,Single Family,Split Entry,3,2,1,1997,1154,Public Record,377,Public Record,"9,960",Raymore-Peculiar,Y,"Gas, Insert, Living Room",Y,"Daylight, Finished, Walk Out",Y,"Frame, Wood Siding",Traditional,Composition,"City Limits, Corner Lot",No,Yes,Pub Maint,Y,Forced Air Gas,Central Electric,City/Public,City/Public,64083,FALSE,TRUE
662,13201 E Meadow Drive,"Peculiar, MO 64078",2215136,Map,205585,Cass,Peculiar,Countryside Acres,Single Family,Ranch,3,2,0,1973,1300,Public Record,420,Other,"161,172",Raymore-Peculiar,Y,Family Room,Y,"Finished, Full, Inside Entrance",Y,Stone Trim,Traditional,Composition,"Acreage, Corner Lot",No,No,,Y,"Forced Air Gas, Propane Gas",Central Electric,City/Public,Septic,64078,FALSE,TRUE
663,19910 S Pickering Road,"Belton, MO 64012",2202326,Map,205813,Cass,Belton,Pickering Estates,Single Family,Split Entry,3,3,0,1976,1404,Public Record,1404,Public Record,3 ac,Raymore-Peculiar,Y,"Basement, Heat Circulator, Family Room",Y,"Concrete, Finished, Inside Entrance",Y,"Board/Batten, Brick Trim",Traditional,Composition,"Acreage, Treed",Yes,,,Y,"Forced Air Gas, Propane Gas","Attic Fan, Central Electric",City/Public,"Aeration, Jet Aeration",64012,FALSE,TRUE
664,700 Canter Street,"Raymore, MO 64083",2191728,Map,205900,Cass,Raymore,Canter Ridge,Single Family,Front/Back Split,3,2,1,1994,1334,Other,621,Other,"10,200",Raymore-Peculiar,Y,"Gas, Gas Starter, Great Room",Y,"Finished, Inside Entrance, Walk Out",Y,"Brick Trim, Wood Siding",Traditional,Composition,"City Lot, Corner Lot, Treed",No,Yes,"Pub Maint, Paved",Y,"Forced Air Gas, Natural Gas","Attic Fan, Central Electric",City/Public,City/Public,64083,FALSE,TRUE
665,720 Shiloh Drive,"Raymore, MO 64083",2212238,Map,206000,Cass,Raymore,Canter Ridge,Single Family,Split Entry,3,2,1,1990,1300,Owner,500,Owner,8750,Raymore-Peculiar,Y,"Gas Starter, Great Room, Wood Burning",N,"Daylight, Finished",Y,Lap,Traditional,Composition,,No,,,Y,Central Gas,Central Electric,City/Public,City/Public,64083,FALSE,TRUE
666,16912 Summit Drive,"Belton, MO 64012",2206790,Map,207000,Cass,Belton,Meadow Creek,Single Family,2 Stories,3,2,1,2009,1934,Public Record,0,Public Record,74X115,Belton,Y,Great Room,Y,Full,Y,"Stone Trim, Wood Siding",Traditional,Composition,"City Limits, Level",No,Yes,Paved,Y,Heatpump/Gas,Central Electric,City/Public,City/Public,64012,TRUE,FALSE
667,214 N Murphy Drive,"Raymore, MO 64083",2190106,Map,207000,Cass,Raymore,Keenland Est,Single Family,Split Entry,3,2,0,1973,1034,Public Record,362,Public Record,"18,080",Raymore-Peculiar,Y,"Basement, Family Room, Wood Burning",Y,"Daylight, Finished, Walk Out",Y,Vinyl Siding,Traditional,Composition,"Acreage, City Limits, Level, Treed",No,Yes,Pub Maint,Y,Central Gas,"Attic Fan, Central Electric",City/Public,City/Public,64083,FALSE,TRUE
668,18904 S Ash Avenue,"Belton, MO 64012",2214649,Map,207050,Cass,Belton,Dickenson Manor,Single Family,2 Stories,4,2,1,1990,2068,Owner,512,Owner,8520,Belton,Y,Family Room,Y,Finished,Y,Frame,Traditional,Composition,City Lot,No,Yes,Pub Maint,Y,Forced Air Gas,"Attic Fan, Central Electric",City/Public,City/Public,64012,FALSE,TRUE
669,16415 Slater Avenue,"Belton, MO 64012",2211750,Map,207400,Cass,Belton,Summerset Hills,Single Family,Split Entry,3,2,1,2000,1318,Public Record,282,Public Record,"9,600",Belton,Y,Living Room,Y,"Finished, Garage Entrance",Y,Board/Batten,,Composition,,,,,Y,Central Electric,Central Electric,City/Public,City/Public,64012,FALSE,TRUE
670,304 Kimberly Drive,"Belton, MO 64012",2207498,Map,207500,Cass,Belton,Valley High,Single Family,1.5 Stories,3,2,1,1991,2531,Public Record,0,Public Record,82X100,Belton,Y,,Y,"Concrete, Not Finished, Walk Out",Y,Frame,Traditional,Composition,,No,,,Y,Forced Air Gas,Central Electric,City/Public,City/Public,64012,TRUE,FALSE
671,16113 Spring Valley Road,"Belton, MO 64012",2174614,Map,207500,Cass,Belton,Georgia Place,Single Family,Atrium Split,3,2,1,1993,1650,Public Record,308,Public Record,"8,385",Belton,Y,"Family Room, Gas, Gas Starter",Y,"Concrete, Not Finished",Y,"Brick Trim, Vinyl Siding",Traditional,Composition,"City Lot, Level",No,Yes,"Pub Maint, Paved",Y,"Central Gas, Hot Water",Central Electric,City/Public,City/Public,64012,FALSE,TRUE
672,905 Ingleside Drive,"Pleasant Hill, MO 64080",2112727,Map,207500,Cass,Pleasant Hill,Highland Park,Single Family,Ranch,2,2,0,2018,1209,,0,,50X124,Pleasant Hill,Y,"Electric, Living Room",N,Slab,Y,Stucco & Frame,Traditional,Composition,City Lot,No,Yes,"Pub Maint, Paved",Y,Heat Pump,Central Electric,City/Public,City/Public,64080,TRUE,FALSE
673,902 Coachman Drive,"Pleasant Hill, MO 64080",2181075,Map,207500,Cass,Pleasant Hill,Wild Wood,Single Family,Split Entry,3,2,0,2002,1668,Public Record,0,Public Record,71X125,Pleasant Hill,Y,"Gas, Great Room",Y,"Concrete, Daylight, Inside Entrance",Y,Frame,Traditional,Composition,"City Lot, Level",Unknown,Yes,"Pub Maint, Paved",Y,Heat Pump,Central Electric,City/Public,City/Public,64080,TRUE,FALSE
674,27615 S State Route D Highway,"Cleveland, MO 64734",2176246,Map,207500,Cass,Cleveland,Other,Single Family,Ranch,3,2,0,1960,1408,Appraisal,1182,Appraisal,"60,113",Cass-Midway,Y,"Gas, Living Room",Y,"Concrete, Full",Y,Concrete,Other,Composition,Acreage,No,,,Y,Central Gas,Central Electric,City/Public,Septic,64734,FALSE,TRUE
675,605 Valley View,"Raymore, MO 64083",2167480,Map,208000,Cass,Raymore,Evan Brook,Single Family,Raised Ranch,3,2,1,1991,1225,Public Record,240,Other,"9,100",Raymore-Peculiar,Y,"Great Room, Wood Burning",Y,"Finished, Partial",Y,"Brick Trim, Frame",Traditional,Composition,City Lot,No,,,Y,Forced Air Gas,Central Electric,City/Public,City/Public,64083,FALSE,TRUE
676,10004 Kelly Drive,"Peculiar, MO 64078",2195896,Map,208000,Cass,Peculiar,North Pointe Village,Single Family,Split Entry,3,3,0,2015,1278,Other,450,Other,"10,000",Raymore-Peculiar,N,,Y,"Daylight, Finished",Y,"Stone Trim, Wood Siding",Traditional,Composition,"City Lot, Level",No,Yes,Pub Maint,Y,Forced Air Gas,Central Electric,City/Public,City/Public,64078,FALSE,TRUE
677,419 Spring Branch Drive,"Raymore, MO 64083",2206315,Map,208000,Cass,Raymore,Madison Creek,Single Family,Split Entry,3,2,1,2003,1262,Public Record,550,Public Record,"8,400",Raymore-Peculiar,Y,"Gas Starter, Living Room",Y,"Egress Window, Finished",Y,"Frame, Wood Siding",Traditional,Composition,"City Limits, City Lot",No,,"Pub Maint, Paved",Y,Central Gas,Central Electric,City/Public,City/Public,64083,FALSE,TRUE
678,220 Manor Drive,"Belton, MO 64012",2210483,Map,208500,Cass,Belton,Hargis Gardens,Single Family,1.5 Stories,5,3,1,1964,1737,Public Record,0,Public Record,"16,042",Belton,Y,Family Room,Y,"Concrete, Garage Entrance, Inside Entrance",Y,Brick & Frame,,Composition,Corner Lot,No,Yes,Pub Maint,Y,Forced Air Gas,Central Electric,City/Public,City/Public,64012,FALSE,TRUE
679,402 N Jefferson Street,"Raymore, MO 64083",2190476,Map,208900,Cass,Raymore,Heritage Hills,Single Family,2 Stories,4,2,1,1974,1908,Public Record,0,Other,"15,000",Raymore-Peculiar,Y,"Gas Starter, Great Room, Masonry, Wood Burning",Y,"Daylight, Full, Not Finished",Y,"Brick & Frame, Vinyl Siding",Traditional,Composition,"City Lot, Corner Lot",No,Yes,"Pub Maint, Paved",Y,"Forced Air Gas, Natural Gas",Central Electric,City/Public,City/Public,64083,FALSE,TRUE
680,22005 Gracie Drive,"Peculiar, MO 64078",2164901,Map,209000,Cass,Peculiar,Quail Run,Single Family,Split Entry,3,2,1,2004,1300,Public Record,0,Public Record,70X135,Raymore-Peculiar,Y,"Living Room, Wood Burning",Y,Finished,Y,Frame,Traditional,Composition,Level,No,,,Y,"Central Electric, Heat Pump",Central Electric,City/Public,City/Public,64078,TRUE,FALSE
681,16015 Eastern Avenue,"Belton, MO 64012",2219303,Map,209000,Cass,Belton,Martinwood,Single Family,Split Entry,3,2,1,1991,1132,Public Record,550,Public Record,165X125,Belton,Y,Great Room,Y,"Concrete, Daylight, Inside Entrance",Y,"Board/Batten, Lap",Traditional,Composition,City Lot,No,,,Y,Forced Air Gas,"Attic Fan, Central Electric",City/Public,City/Public,64012,TRUE,FALSE
682,902 Highland Street,"Pleasant Hill, MO 64080",2193707,Map,209000,Cass,Pleasant Hill,Highland Park,Single Family,Ranch,2,2,0,2019,1209,Builder,0,Builder,50X124,Pleasant Hill,Y,"Electric, Living Room",N,Slab,Y,Stucco & Frame,Traditional,Composition,City Lot,No,Yes,"Pub Maint, Paved",Y,Heat Pump,Central Electric,City/Public,City/Public,64080,TRUE,FALSE
683,719 Furlong Drive,"Raymore, MO 64083",2214340,Map,209500,Cass,Raymore,Canter Ridge,Single Family,Split Entry,4,3,0,2000,1109,Public Record,786,Public Record,70X125,Raymore-Peculiar,Y,"Gas Starter, Living Room",Y,"Finished, Full, Walk Out",Y,"Frame, Wood Siding",Traditional,Composition,"City Limits, City Lot",No,Yes,"Pub Maint, Paved",Y,Forced Air Gas,Central Electric,City/Public,City/Public,64083,TRUE,FALSE
684,15803 Hight Avenue,"Belton, MO 64012",2165057,Map,209500,Cass,Belton,Hardee Meadows,Single Family,"Side/Side Split, Split Entry",3,2,1,2004,1800,Public Record,0,Public Record,10410,Belton,Y,"Heat Circulator, Great Room",Y,"Finished, Full, Walk Out",Y,Frame,Traditional,Composition,,No,,,Y,Forced Air Gas,Central Electric,City/Public,City/Public,64012,FALSE,TRUE
685,803 S Park Drive,"Raymore, MO 64083",2172463,Map,209900,Cass,Raymore,Evan Brook,Single Family,"California Split, Front/Back Split",3,2,1,1992,1486,Public Record,760,Public Record,90X170,Raymore-Peculiar,Y,"Gas Starter, Great Room",Y,"Concrete, Finished, Walk Out",Y,"Brick & Frame, Wood Siding",Traditional,Composition,"City Lot, Level",Unknown,,,Y,"Forced Air Gas, Natural Gas",Central Electric,City/Public,City/Public,64083,TRUE,FALSE
686,707 Corrington Drive,"Raymore, MO 64083",2205481,Map,209950,Cass,Raymore,Brookside,Single Family,Split Entry,3,2,1,2004,1271,Public Record,627,Public Record,"9,000",Raymore-Peculiar,Y,Living Room,Y,Finished,Y,Wood Siding,Traditional,Composition,City Lot,No,,,Y,Central Gas,Central Electric,City/Public,City/Public,64083,FALSE,TRUE
687,1905 Woodlawn Street,"Pleasant Hill, MO 64080",2183937,Map,210000,Cass,Pleasant Hill,Lexington Trails,Single Family,Ranch,3,2,0,1965,1482,Public Record,0,Public Record,"60,113",Pleasant Hill,Y,Family Room,Y,"Concrete, Inside Entrance, Not Finished",Y,Vinyl Siding,,Composition,"Acreage, City Limits",No,Yes,Pub Maint,Y,Central Gas,Central Electric,City/Public,Septic,64080,FALSE,TRUE
688,607 Tall Grass Drive,"Pleasant Hill, MO 64080",2180146,Map,210000,Cass,Pleasant Hill,Tall Grass,Single Family,Split Entry,3,3,0,2006,1444,Public Record,648,Public Record,"11,035",Pleasant Hill,Y,Living Room,Y,"Finished, Garage Entrance",Y,"Stone Veneer, Wood Siding",,Composition,,No,Yes,Pub Maint,Y,Heatpump/Gas,Central Electric,City/Public,City/Public,64080,FALSE,TRUE
689,203 Toucan Street,"Raymore, MO 64083",2170480,Map,210000,Cass,Raymore,Sky Vue Estates,Single Family,Ranch,3,3,0,1986,1576,Public Record,984,Public Record,"16,160",Raymore-Peculiar,Y,"Gas, Great Room",Y,"Finished, Full, Walk Out",Y,Other,,Composition,"Adjoin Greenspace, Treed",Unknown,,,Y,Central Gas,Central Electric,City/Public,City/Public,64083,FALSE,TRUE
690,801 Shiloh Drive,"Raymore, MO 64083",2171107,Map,210000,Cass,Raymore,Canter Ridge,Single Family,Ranch,3,3,0,2001,1319,RPR,1319,RPR,10000,Raymore-Peculiar,Y,Living Room,Y,"Concrete, Walk Up",Y,Wood Siding,Traditional,Composition,"City Limits, Corner Lot",No,Yes,,Y,Forced Air Gas,Central Electric,City/Public,City/Public,64083,FALSE,TRUE
691,1507 Maple Lane,"Pleasant Hill, MO 64080",2219462,Map,210000,Cass,Pleasant Hill,Stone Creek,Single Family,Split Entry,3,2,1,1993,1234,Public Record,400,Other,"9,600",Pleasant Hill,N,,Y,"Daylight, Finished",Y,"Frame, Wood Siding",Traditional,Composition,"Adjoin Greenspace, Level",No,Yes,"Pub Maint, Paved",Y,Forced Air Gas,Central Electric,City/Public,City/Public,64080,FALSE,TRUE
692,1905 Chestnut Drive,"Pleasant Hill, MO 64080",2217701,Map,210000,Cass,Pleasant Hill,Willow Creek,Single Family,Split Entry,3,2,0,2001,1188,Public Record,594,Public Record,70X125,Pleasant Hill,Y,"Living Room, Wood Burning",Y,"Finished, Full",Y,Board/Batten,Traditional,Composition,City Lot,No,,,Y,Forced Air Gas,Central Electric,City/Public,City/Public,64080,TRUE,FALSE
693,704 Hibiscus Circle,"Belton, MO 64012",2206543,Map,210000,Cass,Belton,Autumn Ridge,Single Family,Split Entry,4,3,0,2008,1229,Public Record,598,Other,9000,Belton,Y,"Gas, Living Room",Y,"Daylight, Walk Out",Y,"Stone Trim, Wood Siding",Traditional,Composition,"Cul-De-Sac, Treed",No,,,Y,"Central Gas, Forced Air Gas",Central Electric,City/Public,City/Public,64012,FALSE,TRUE
694,7205 Rymeg Street,"Belton, MO 64012",2202492,Map,210000,Cass,Belton,Richmond Park,Single Family,Raised Ranch,3,2,1,2007,1336,Public Record,428,Other,"8,580",Belton,Y,Great Room,Y,"Egress Window, Finished",Y,"Frame, Lap",Traditional,Composition,,Unknown,,,Y,Forced Air Gas,Central Electric,City/Public,City/Public,64012,FALSE,TRUE
695,26519 S Blinker Light Road,"Harrisonville, MO 64701",2179742,Map,210000,Cass,Harrisonville,Hiland Acres,Single Family,Ranch,3,2,0,1978,1464,Public Record,0,Public Record,"331,927",Harrisonville,Y,"Family Room, Insert, Wood Burning",Y,"Full, Inside Entrance, Not Finished",Y,Board/Batten,Traditional,Composition,Acreage,Unknown,,,Y,Central Electric,Central Electric,City/Public,Septic,64701,FALSE,TRUE
696,611 Derby Street,"Raymore, MO 64083",2175599,Map,210000,Cass,Raymore,Canter Ridge,Single Family,Atrium Split,4,2,1,2001,1320,Public Record,855,Public Record,10368,Raymore-Peculiar,Y,"Family Room, Gas",Y,"Concrete, Finished, Walk Out",Y,Frame,Contemporary,Composition,Level,No,Yes,Pub Maint,Y,"Central Gas, Forced Air Gas",Central Electric,City/Public,City/Public,64083,FALSE,TRUE
697,12006 213th Terrace,"Peculiar, MO 64078",2213364,Map,210000,Cass,Peculiar,Twin Oaks,Single Family,Split Entry,3,2,0,2005,1078,Owner,276,Owner,.27 ac,Raymore-Peculiar,Y,Living Room,Y,Finished,Y,"Vinyl Siding, Wood Siding",Traditional,Composition,,No,Yes,Pub Maint,Y,"Central Electric, Central Gas",Central Electric,City/Public,City/Public,64078,FALSE,TRUE
698,1006 Silver Lake Drive,"Raymore, MO 64083",2211959,Map,210000,Cass,Raymore,Silver Lake Estates,Single Family,Tri Level,4,2,1,1975,1728,Public Record,497,Public Record,"10,880",Raymore-Peculiar,Y,"Great Room, Masonry, Recreation Room",Y,"Finished, Inside Entrance, Partial",Y,"Board/Batten, Cedar",Traditional,Composition,"City Limits, City Lot, Treed",Unknown,Yes,"Pub Maint, Paved",Y,Forced Air Gas,Central Electric,City/Public,City/Public,64083,FALSE,TRUE
699,121 N Randolph Street,"Pleasant Hill, MO 64080",2204580,Map,210000,Cass,Pleasant Hill,Millers 1st,Single Family,Ranch,3,2,0,2020,1303,Builder,0,Builder,56X140,Pleasant Hill,Y,"Gas, Great Room, Insert",N,Slab,Y,Lap,Traditional,Composition,"City Limits, City Lot, Level",No,Yes,"Pub Maint, Paved",Y,"Forced Air Electric, Heat Pump",Central Electric,City/Public,City/Public,64080,TRUE,FALSE
700,1205 Lee Lane,"Raymore, MO 64083",2190195,Map,210000,Cass,Raymore,Peaceful Meadows,Single Family,Ranch,3,2,1,1987,1513,Public Record,0,Public Record,11775,Raymore-Peculiar,Y,"Gas Starter, Great Room, Masonry, Wood Burning",Y,"Full, Inside Entrance",Y,"Board/Batten, Brick Trim",,Wood Shingle,City Lot,No,,,Y,"Forced Air Gas, Natural Gas",Central Electric,City/Public,City/Public,64083,FALSE,TRUE
701,21809 Lombardo Lane,"Peculiar, MO 64078",2178789,Map,210000,Cass,Peculiar,Tuscany,Single Family,Ranch,3,2,0,2007,1778,Public Record,0,Public Record,"8,775",Raymore-Peculiar,Y,Great Room,Y,"Egress Window, Full, Stubbed for Bath",Y,"Brick & Frame, Vinyl Siding",Traditional,Composition,City Lot,No,,,Y,Forced Air Gas,Central Electric,City/Public,City/Public,64078,FALSE,TRUE
702,16308 Slater Avenue,"Belton, MO 64012",2173531,Map,210000,Cass,Belton,Summerset Hills,Single Family,Side/Side Split,3,2,1,1999,1300,Agent,400,Agent,115X70,Belton,N,,Y,"Daylight, Finished, Inside Entrance",Y,"Frame, Lap",Traditional,Composition,"City Lot, Level",Unknown,,,Y,"Forced Air Gas, Natural Gas",Central Electric,City/Public,City/Public,64012,TRUE,FALSE
703,305 Leah Lane,"Harrisonville, MO 64701",2183284,Map,210000,Cass,Harrisonville,East Elm Estates,Single Family,Ranch,3,2,0,2004,1490,Public Record,0,Public Record,"12,600",Harrisonville,N,,Y,Not Finished,Y,Wood Siding,Traditional,Composition,"City Lot, Corner Lot",No,,,Y,"Central Gas, Natural Gas",Central Electric,City/Public,City/Public,64701,FALSE,TRUE
704,26100 S Blueberry Road,"Freeman, MO 64746",2197520,Map,210000,Cass,Freeman,Shamrock Hills,Single Family,2 Stories,3,2,0,1880,1968,Public Record,0,Public Record,10 ac,Cass-Midway,N,Wood Burn Stove,N,"Cellar, Crawl Space",Y,Frame,"Traditional, Victorian",Composition,"Acreage, Treed, Wooded",No,No,Gravel,N,"Heat Pump, Propane Gas","Central Gas, Heat Pump",Rural,Septic,64746,FALSE,TRUE
705,30300 S Hess Road,"Harrisonville, MO 64701",2136864,Map,210000,Cass,Harrisonville,Other,Single Family,"Side/Side Split, Tri Level",3,2,1,1989,2752,Other,0,Other,.66 ac,Harrisonville,N,,Y,"Finished, Garage Entrance, Inside Entrance",Y,"Board/Batten, Wood Siding",Traditional,Composition,"Acreage, Pond(s)",No,No,Gravel,Y,"Forced Air Gas, Propane Gas","Attic Fan, Central Electric",City/Public,Septic,64701,FALSE,TRUE
706,11910 E 214th Street,"Peculiar, MO 64078",2175530,Map,210500,Cass,Peculiar,Twin Oaks,Single Family,Split Entry,4,3,0,2003,1182,Public Record,528,Public Record,"9,200",Raymore-Peculiar,Y,"Gas Starter, Living Room",Y,"Daylight, Finished",Y,Vinyl Siding,Traditional,Composition,"City Lot, Treed",No,,,Y,"Central Electric, Heatpump/Gas",Central Electric,City/Public,City/Public,64078,FALSE,TRUE
707,404 Hillcrest Circle,"Belton, MO 64012",2188593,Map,211000,Cass,Belton,Hargis Gardens West,Single Family,Side/Side Split,4,2,1,1967,1596,Public Record,324,Public Record,28574,Belton,Y,Family Room,Y,"Concrete, Not Finished",Y,"Frame, Wood Siding",Traditional,Composition,,No,,,Y,Central Gas,Central Electric,City/Public,City/Public,64012,FALSE,TRUE
708,701 Corrington Drive,"Raymore, MO 64083",2201113,Map,211786,Cass,Raymore,Brookside,Single Family,Split Entry,3,3,0,2001,1288,Public Record,386,Agent,70X125,Raymore-Peculiar,Y,Living Room,Y,Finished,Y,"Stone Trim, Wood Siding",Traditional,Composition,Acreage,No,Yes,Paved,Y,Central Electric,Central Gas,City/Public,City/Public,64083,TRUE,FALSE
709,807 E Pearl Street,"Harrisonville, MO 64701",2199964,Map,211900,Cass,Harrisonville,Other,Single Family,1.5 Stories,3,2,1,1900,2098,Public Record,0,Public Record,"11,600",Harrisonville,N,,Y,"Full, Stone/Rock, Walk Out",Y,"Frame, Wood Siding",Traditional,Composition,City Lot,No,,,Y,"Natural Gas, Zoned","Central Electric, Zoned",City/Public,City/Public,64701,FALSE,TRUE
710,1019 Silver Lake Drive,"Raymore, MO 64083",2172274,Map,212000,Cass,Raymore,Silver Lake Estates,Single Family,Side/Side Split,4,2,1,1977,2134,Public Record,0,Public Record,90X195,Raymore-Peculiar,Y,"Family Room, Masonry, Wood Burning",Y,"Concrete, Inside Entrance",Y,"Brick Trim, Frame",Traditional,Composition,"Estate Lot, Level",No,Yes,"Pub Maint, Paved",Y,Forced Air Gas,"Attic Fan, Central Electric",City/Public,City/Public,64083,TRUE,FALSE
