,Unnamed: 0,address,description,sqft,lot_size,bedrooms,bathrooms,half_baths,sale_price,yr_built,town_Archie,town_Belton,town_Cleveland,town_Creighton,town_Drexel,town_East Lynne,town_Freeman,town_Garden City,town_Greenwood,town_Harrisonville,town_Kingsville,town_Lake Winnebago,town_Lees Summit,town_Loch Lloyd,town_Peculiar,town_Pleasant Hill,town_Raymore,town_Strasburg
1007,1007,"1400 Young CircleRaymore, MO 64083","4Bedrms3Full Bath(s)1Half Bath(s)3,065SqftBuilt in2019Single Family",3065,0.5,4,3,1,698700,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1008,1008,"4541 SW Gull Point DriveLee's Summit, MO 64082","4Bedrms2Full Bath(s)1Half Bath(s)4,700SqftBuilt in1998Single Family",4700,0.5,4,2,1,699900,1998,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1009,1009,"15515 Meadowbrook CourtRaymore, MO 64083","4Bedrms4Full Bath(s)1Half Bath(s)7,447SqftBuilt in20003.7AcresSingle Family",7447,3.7,4,4,1,710000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1010,1010,"1116 Lakecrest CircleRaymore, MO 64083","4Bedrms3Full Bath(s)1Half Bath(s)3,550SqftBuilt in2020Single Family",3550,0.5,4,3,1,713011,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1011,1011,"22702 S Prospect AvenueCleveland, MO 64734","4Bedrms4Full Bath(s)1Half Bath(s)3,541SqftBuilt in196671AcresSingle Family",3541,71.0,4,4,1,732000,1966,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1012,1012,"1315 Granton LaneRaymore, MO 64083",4Bedrms4Full Bath(s)0Half Bath(s)Built in2017Single Family,3650,0.5,4,4,0,754070,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1013,1013,"1221 Granton LaneRaymore, MO 64083","4Bedrms4Full Bath(s)0Half Bath(s)3,433SqftBuilt in2019Single Family",3433,0.5,4,4,0,773757,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1014,1014,"7 Dakota CircleLake Winnebago, MO 64034","5Bedrms4Full Bath(s)0Half Bath(s)3,557SqftBuilt in 2019.5acresSingle Family",3557,0.5,5,4,0,780000,1990,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1015,1015,"1311 Granton LaneRaymore, MO 64083","4Bedrms3Full Bath(s)0Half Bath(s)3,519SqftBuilt in2020Single Family",3519,0.5,4,3,0,782693,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1016,1016,"39501 163 StreetPleasant Hill, MO 64080","3Bedrms3Full Bath(s)0Half Bath(s)7,800SqftBuilt in2006160AcresSingle Family",7800,160.0,3,3,0,795000,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1017,1017,"65 Street Of Dreams StreetLoch Lloyd, MO 64012","5Bedrms4Full Bath(s)4Half Bath(s)7,144SqftBuilt in19940.67AcresSingle Family",7144,0.67,5,4,4,801250,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1018,1018,"85 Hever KnollLoch Lloyd, MO 64012","4Bedrms3Full Bath(s)1Half Bath(s)5,170SqftBuilt in20072.69AcresSingle Family",5170,2.69,4,3,1,853000,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1019,1019,"400 South Shore DriveLake Winnebago, MO 64034","4Bedrms3Full Bath(s)1Half Bath(s)3,800SqftBuilt in2020Single Family",3800,0.5,4,3,1,856088,2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
